evt, m, deta, e_ratio
186,16.0584,5.7813,0.0357314
187,16.9553,1.85622,0.22252
188,15.041,0.249981,0.903901
189,26.067,0.523279,0.819866
190,15.1139,7.43487,0.826069
191,14.497,0.502692,0.614298
192,14.7278,4.54732,0.168137
193,14.2616,6.99373,0.304834
194,16.1313,7.03273,0.0137469
195,17.5673,0.0247117,0.906631
196,15.5423,1.17254,0.519945
197,14.6469,2.97168,0.293309
198,18.5075,0.680998,0.868449
199,14.626,1.60042,0.307948
200,21.2004,4.49033,0.0424095
201,14.7646,6.18313,0.0122101
202,14.82,0.790212,0.707457
203,18.8941,3.08891,0.258019
204,19.9734,1.11419,0.348017
205,19.2189,2.06946,0.18724
206,17.1201,7.20446,0.0244587
207,14.2604,0.807956,0.736495
208,15.5259,2.27513,0.136953
209,15.3594,2.65161,0.200146
210,14.2146,2.46855,0.163081
211,22.8585,3.21317,0.606765
212,17.2104,0.575682,0.901782
213,19.1532,3.72513,0.169936
214,15.8408,3.63718,0.361542
215,14.791,0.341275,0.73093
216,16.57,2.67609,0.152628
217,14.702,1.40697,0.288451
218,16.2614,0.431319,0.602437
219,15.2264,2.46629,0.0862111
220,16.6216,7.33137,0.87959
221,14.366,0.70552,0.611669
222,15.271,5.21783,0.132834
223,16.0946,1.95198,0.489316
224,15.5457,5.84374,0.00971108
225,14.5657,2.73898,0.19029
226,15.0687,2.76446,0.0711499
227,18.6351,1.65822,0.254955
228,15.4618,0.393388,0.692583
229,17.0823,4.14431,0.182871
230,15.667,6.2921,0.0181412
231,17.3119,2.06781,0.169408
232,17.2445,2.92076,0.876434
233,15.3831,1.54157,0.5056
234,21.8704,3.39536,0.40766
235,14.3246,4.8469,0.056776
236,21.7418,6.92825,0.462233
237,27.6976,2.40954,0.373509
238,15.9144,2.19152,0.116322
239,17.8769,2.32337,0.120365
240,16.4922,3.99026,0.0879431
241,16.3036,3.02801,0.116578
242,16.1626,4.86135,0.0228253
243,16.6847,4.63064,0.648533
244,19.185,0.997744,0.383525
245,15.85,5.13424,0.0507515
246,15.6987,0.886421,0.44729
247,16.7147,0.686447,0.52196
248,15.1634,0.999201,0.415461
249,20.2887,3.85984,0.685123
250,15.0625,0.701301,0.532138
251,14.2975,3.79847,0.261587
252,14.2319,5.073,0.0830411
253,15.2705,11.8341,0.213111
254,14.5624,8.44175,0.0488854
255,16.3482,1.11888,0.338787
256,24.8705,3.32925,0.621674
257,19.2782,3.70539,0.205601
258,15.616,2.80029,0.253562
259,14.4965,0.0872279,0.987904
260,14.7589,8.1607,0.569235
261,17.0095,1.2539,0.547258
262,15.997,0.152613,0.956642
263,15.1401,3.65814,0.0451787
264,15.9414,3.35417,0.0422501
265,15.673,1.68862,0.259562
266,14.5113,2.94187,0.888887
267,14.1518,0.364797,0.728951
268,15.2938,0.632489,0.786795
269,17.0796,0.766504,0.474124
270,19.7443,4.30386,0.486335
271,15.4071,8.07842,0.126604
272,14.8464,3.11817,0.185588
273,15.5505,1.95489,0.149903
274,14.6801,2.21271,0.257478
275,16.4134,0.786205,0.905962
276,16.4815,0.149754,0.903941
277,16.8753,1.17162,0.742989
278,16.1181,9.51224,0.399274
279,15.8978,4.67537,0.0362498
280,31.3092,7.24795,0.016362
281,16.1178,0.401299,0.682517
282,14.2194,2.67098,0.138501
283,15.0018,1.19374,0.310787
284,21.6129,4.82786,0.0605769
285,31.5005,0.699976,0.706357
286,16.2718,0.610213,0.72419
287,15.9558,3.09263,0.288294
288,16.5717,0.979349,0.435235
289,16.0172,2.88409,0.15599
290,22.5088,1.2269,0.317317
291,26.1833,0.875414,0.475197
292,14.2132,8.09453,0.840928
293,17.6853,0.593119,0.597759
294,14.9433,2.20163,0.194155
295,15.1407,4.71486,0.233595
296,15.0913,7.47162,0.0999415
297,15.17,0.865105,0.910437
298,22.1078,0.143798,0.897136
299,15.197,0.659606,0.80593
300,18.401,1.55752,0.431117
