evt, m, deta, e_ratio
185,6.2548,4.71807,0.72781
186,3.87703,4.66609,0.0409346
187,3.7693,6.56148,0.101454
188,5.61755,4.37533,0.0399857
189,5.4995,2.55814,0.0911127
190,4.08532,2.74856,0.0878958
191,3.89592,4.0673,0.434131
192,3.70829,0.318151,0.82773
193,3.82926,2.47081,0.246909
194,4.5676,1.01084,0.320723
195,3.64017,3.15976,0.596284
196,4.1904,0.716953,0.575548
197,3.73383,1.17652,0.371324
198,12.3221,3.559,0.0772906
199,3.55932,0.729241,0.511818
200,3.5781,1.56643,0.310426
201,3.71684,5.4101,0.158534
202,5.91004,1.09497,0.383709
203,3.64777,0.407229,0.722356
204,5.03006,3.26985,0.310522
205,3.86812,5.5869,0.102455
206,3.97758,1.14291,0.398583
207,4.99907,2.02722,0.125547
208,4.32571,2.58436,0.309002
209,3.7675,2.37067,0.0958182
210,5.61851,1.93164,0.507146
211,4.73206,4.48393,0.0274601
212,3.64662,1.13595,0.286659
213,5.21795,1.27285,0.300162
214,3.64859,1.87055,0.250768
215,3.94225,3.85798,0.586296
216,3.74659,1.72977,0.500573
217,5.84364,1.57137,0.239459
218,7.05202,4.29518,0.192579
219,4.84313,1.3778,0.225909
220,4.84649,6.73085,0.0454494
221,3.8337,2.86986,0.137896
222,3.64656,6.81755,0.242761
223,6.16024,0.203514,0.875453
224,3.61727,3.34119,0.400923
225,4.70429,2.43198,0.786031
226,7.65805,6.48041,0.258732
227,3.93863,0.864268,0.360064
228,5.29933,0.984843,0.399486
229,5.75901,1.53967,0.142206
230,3.70075,2.97737,0.153214
231,3.61538,0.822735,0.537112
232,4.94102,4.72043,0.191995
233,4.46945,4.21506,0.702714
234,3.89318,4.58329,0.0497734
235,6.7029,8.21112,0.872064
236,5.85821,2.66136,0.056719
237,6.30455,4.609,0.230397
238,3.656,0.302091,0.604927
239,3.93713,2.81466,0.13828
240,3.6403,1.59957,0.532477
241,3.75567,0.887555,0.479723
242,5.47627,5.22367,0.778386
243,3.81421,0.859514,0.509699
244,6.03916,6.37311,0.325827
245,5.40921,2.05702,0.511271
246,4.90553,3.2114,0.281144
247,3.86579,5.01761,0.0886066
248,5.84485,2.67276,0.459028
249,3.80069,4.40115,0.0548353
250,4.16113,1.84824,0.172384
251,4.06619,0.683436,0.914114
252,4.90851,3.39249,0.380992
253,3.68571,2.95336,0.103514
254,3.6083,3.51364,0.416996
255,4.48077,6.39034,0.122985
256,4.97636,5.61553,0.798509
257,4.62908,2.72852,0.363047
258,3.58463,2.03487,0.270294
259,3.78301,4.68768,0.972394
260,3.78983,3.37086,0.0657662
261,4.03436,1.98775,0.295098
262,5.04484,3.4746,0.686679
263,4.55258,5.8806,0.0731331
264,3.97744,1.32988,0.323586
265,4.05486,1.57082,0.211305
266,4.44914,4.67795,0.0452918
267,4.11255,4.2304,0.0240288
268,4.30656,2.73438,0.0760241
269,4.45564,0.188127,0.715373
270,5.59647,3.36175,0.0591793
271,5.47103,3.02018,0.546708
272,3.90382,0.0579864,0.995644
273,3.55084,4.21336,0.0363476
274,4.15747,4.27469,0.0373218
275,3.94166,5.84086,0.792564
276,6.91206,4.31533,0.198559
277,3.83506,0.244516,0.947441
278,8.22183,6.43315,0.729861
279,4.05258,1.89443,0.237333
280,3.5914,1.17212,0.98776
281,3.80861,0.496891,0.532642
282,6.06438,2.28857,0.299103
283,3.63601,4.54716,0.940842
284,4.76294,6.37582,0.702291
285,4.06522,3.82053,0.289818
286,3.77582,0.642685,0.734403
287,4.18886,2.06556,0.518434
288,4.00612,2.00004,0.885558
289,3.64563,0.862126,0.905617
290,4.05503,5.48741,0.077765
291,4.50975,0.164719,0.69192
292,5.84996,4.12465,0.721867
293,9.85767,1.76704,0.472881
294,5.44149,0.653628,0.724626
295,5.18008,1.77053,0.235102
296,3.77693,2.11074,0.154865
297,4.09575,0.446426,0.666892
298,10.1526,4.91394,0.815832
299,3.65468,0.69438,0.363753
300,3.86897,4.14944,0.0626156
301,4.6968,5.6986,0.0346764
302,3.64786,3.07669,0.243348
303,4.07355,1.55738,0.288739
304,5.69545,4.64082,0.0191329
305,3.60987,2.69304,0.0530172
306,3.94827,3.07883,0.929888
307,3.55259,3.35582,0.336562
308,3.92424,1.19756,0.684591
309,4.55,6.16119,0.505737
