evt, m, deta, e_ratio
185,1.41714,2.14236,0.220894
186,1.47164,2.29854,0.140151
187,2.04243,2.25738,0.165104
188,1.47634,0.0116022,0.815451
189,1.87978,2.23218,0.315106
190,1.58778,0.215442,0.885906
191,1.7357,3.47252,0.0542085
192,1.5601,3.27886,0.0285893
193,2.07332,3.97808,0.0913162
194,1.74579,1.61039,0.502327
195,1.99103,3.93838,0.393719
196,1.41541,2.85205,0.0710818
197,1.84717,3.44235,0.0796408
198,1.89036,0.222601,0.74049
199,1.45456,2.94482,0.265415
200,3.00333,4.299,0.0330773
201,1.8622,5.30177,0.555041
202,1.97588,4.81554,0.817858
203,3.65071,1.5657,0.257622
204,1.98378,1.51353,0.307761
205,2.15216,3.9096,0.0423412
206,2.02825,0.688546,0.469042
207,1.64233,0.594775,0.860147
208,1.61209,3.09953,0.893997
209,2.85232,2.84881,0.0534668
210,1.48653,4.25319,0.406379
211,1.45884,0.0934455,0.551696
212,1.72661,1.1662,0.153517
213,1.84097,2.72362,0.0619884
214,2.30016,7.13985,0.604886
215,1.69634,3.01298,0.0293641
216,2.55502,1.16139,0.532123
217,2.80831,1.18779,0.471935
218,1.45026,2.40936,0.777557
219,1.63711,2.95283,0.108201
220,1.55995,3.88517,0.0221903
221,1.65301,3.80486,0.376241
222,1.88273,4.79143,0.652632
223,2.3357,0.863705,0.631388
224,1.657,2.57426,0.121214
225,2.13034,5.40365,0.336693
226,1.45243,4.54202,0.475521
227,1.52706,3.97734,0.295494
228,1.68066,5.66168,0.39715
229,1.61624,4.1055,0.0146245
230,1.63299,0.382455,0.672185
231,1.41774,3.87464,0.420964
232,1.71002,1.57899,0.271884
233,1.74604,3.94847,0.557351
234,2.3019,1.52967,0.163974
235,1.86693,5.49422,0.0235657
236,1.42813,0.385581,0.915438
237,2.22753,6.43177,0.447424
238,1.4808,3.19573,0.446218
239,1.53041,1.28752,0.213246
240,1.53391,2.61257,0.0778052
241,1.48298,1.44965,0.279815
242,1.55908,0.319298,0.750456
243,1.87788,3.59082,0.669232
244,1.44233,3.06244,0.0457272
245,1.41957,2.04512,0.474662
246,2.04418,0.656382,0.660363
247,2.10755,2.47583,0.398988
248,2.04328,3.04359,0.0484417
249,1.52677,0.394828,0.701
250,1.4232,1.54167,0.465764
251,1.91202,1.61637,0.313273
252,1.43958,5.94661,0.580234
253,1.53347,3.72318,0.0223734
254,1.55232,3.90011,0.203124
255,1.59475,3.56752,0.0433103
256,2.01445,0.0120592,0.676015
257,1.98397,1.14892,0.206814
258,1.52281,3.38017,0.0570438
259,1.44658,2.49755,0.0690197
260,1.46419,3.48957,0.186083
261,1.47346,0.890855,0.895031
262,1.9217,2.46197,0.206452
263,1.59471,2.19665,0.270716
264,1.44543,1.38729,0.23295
265,1.52359,4.45423,0.520468
266,1.76667,3.44826,0.0155144
267,1.68422,3.01287,0.141046
268,1.51585,0.814961,0.616589
269,1.47062,0.590618,0.307265
270,1.46855,0.845964,0.383586
271,1.49597,2.69723,0.706481
272,3.06954,1.22797,0.468888
273,2.5264,0.474528,0.489484
274,1.56768,0.928047,0.458054
275,2.42492,5.77568,0.0722468
276,1.4786,0.450842,0.562176
277,1.54714,3.05237,0.281714
278,1.449,0.0969332,0.84026
279,1.42871,1.36022,0.396704
280,2.71885,3.67961,0.981961
281,1.46304,0.962721,0.681437
282,2.33778,0.995312,0.786144
283,1.54982,2.33609,0.569285
284,1.55648,2.55281,0.593361
285,1.8503,1.48751,0.28948
286,1.44823,3.0884,0.185363
287,1.4474,0.727783,0.803278
288,1.72874,2.53588,0.335953
289,2.03463,4.24329,0.0685318
290,2.34634,0.437586,0.713501
291,2.96378,6.12427,0.370144
292,2.00332,2.54769,0.217416
293,3.09554,4.34102,0.0476035
294,2.64113,0.667589,0.895078
295,1.41442,1.14324,0.547421
296,1.53402,0.850991,0.415177
297,1.58474,5.08242,0.838644
298,1.56894,5.36135,0.0168487
299,1.66755,4.27899,0.0325884
300,1.76362,3.04953,0.115846
301,1.57617,0.253635,0.889118
302,1.65528,3.89572,0.266931
303,1.63889,4.7479,0.14288
304,1.91305,6.29693,0.94886
305,1.57436,1.94866,0.205806
306,1.65733,0.367854,0.668856
307,1.56591,4.73006,0.0610438
308,1.43539,4.94362,0.0178165
309,1.47437,1.9166,0.211221
310,1.81744,5.93672,0.180122
311,1.51023,2.3481,0.203185
312,1.4907,2.4988,0.119455
313,1.57191,0.582477,0.97087
314,1.51811,4.24335,0.659833
315,1.51632,0.373511,0.467334
316,1.79849,2.29584,0.399829
317,1.61131,2.69403,0.0474238
318,1.41868,2.49033,0.283222
319,2.31398,0.670955,0.342504
320,1.77923,2.52118,0.638068
321,1.83141,2.11738,0.202474
322,1.49605,3.86438,0.00852611
323,1.63258,1.85874,0.280078
324,1.77467,5.0677,0.0166584
325,1.47592,4.13527,0.822254
326,1.4583,0.450653,0.812243
327,2.22486,1.44919,0.433804
328,2.07237,5.1188,0.136459
329,1.60466,2.88707,0.127885
330,1.83076,0.955315,0.876086
331,1.70569,4.78479,0.0981714
332,1.69221,0.7875,0.477803
333,1.44441,3.33425,0.0450066
334,1.84258,0.749255,0.744828
335,1.44842,2.8756,0.349299
336,1.53869,2.38648,0.0883592
337,1.74235,1.62912,0.175682
338,1.73589,6.23119,0.258371
339,1.54552,0.478732,0.630602
340,2.79026,1.88124,0.358253
341,2.85987,6.13691,0.0190766
342,1.84974,3.49591,0.0696859
343,1.46113,4.45228,0.0666989
344,2.32495,0.120052,0.513329
345,1.58752,5.04809,0.0820533
346,1.89985,3.79569,0.187084
347,1.772,0.931593,0.340573
348,1.56269,1.79658,0.213843
349,2.3192,1.32642,0.781917
350,1.79303,2.48549,0.0665063
351,2.64876,5.53893,0.159305
352,1.50155,1.81981,0.235909
353,1.77721,1.86261,0.315488
354,1.64261,1.5992,0.339828
355,1.42727,0.152845,0.847456
356,1.47637,2.15379,0.186183
357,1.6852,3.71644,0.767716
358,1.88456,0.556472,0.969322
359,1.82405,3.20905,0.602219
360,1.44614,0.841086,0.647562
361,1.95468,4.98915,0.0501825
362,1.69068,1.94948,0.756216
363,1.48348,5.47791,0.11875
364,1.90574,1.57563,0.068969
365,1.61084,4.69617,0.176966
366,2.18864,4.37285,0.0190488
367,1.48624,3.28745,0.0510986
368,1.73302,3.97976,0.0653678
369,1.52793,2.5579,0.07435
370,2.23323,1.15361,0.866986
371,1.46814,1.43097,0.479786
372,1.57758,5.06559,0.0125356
373,2.20241,1.75652,0.126374
374,1.57702,3.66808,0.161311
375,1.44483,2.07418,0.610249
376,1.74412,2.05387,0.118106
377,1.89338,1.76087,0.439335
378,1.70443,2.99007,0.242003
379,1.4219,1.35964,0.716952
380,1.72767,2.37424,0.0555764
381,1.79318,2.72902,0.585844
382,1.62052,1.97589,0.185713
383,1.50992,3.24021,0.0501088
384,1.54405,5.71748,0.101281
385,2.31649,0.219056,0.607292
386,1.7117,2.19453,0.306956
387,1.64126,2.94578,0.264099
388,1.79184,3.16886,0.346732
389,1.44119,0.674904,0.708391
390,1.45484,1.53519,0.192934
391,1.52052,3.6097,0.130702
392,1.62357,0.65709,0.988861
393,1.48005,0.941897,0.308279
394,1.90466,4.85933,0.109027
395,1.54287,0.941553,0.766776
396,2.76239,3.81183,0.0540206
397,1.51269,1.52495,0.465765
398,1.44246,3.20386,0.0791685
399,2.07845,1.1167,0.29073
400,1.49816,2.85181,0.385805
401,1.50641,0.421327,0.551413
402,1.49799,3.29286,0.036
403,1.54048,3.01757,0.131384
404,1.60863,1.11455,0.99042
405,1.42066,3.53076,0.329396
406,3.47399,0.782853,0.696993
407,1.81876,3.14496,0.207749
408,1.80582,0.253327,0.989061
409,1.46114,2.10411,0.0856174
410,1.59855,1.13215,0.153749
411,1.67569,1.24553,0.295187
412,1.49421,2.63768,0.137637
413,2.12837,0.0286253,0.813087
414,1.4915,2.38965,0.0739511
415,1.96544,1.86517,0.691986
416,1.64068,2.76981,0.0493642
417,2.2164,1.40474,0.120188
418,1.86773,3.81691,0.311269
419,1.68451,4.03101,0.0294966
420,1.82884,0.0765156,0.579047
421,1.91693,4.87317,0.101416
422,2.46942,2.62811,0.0891532
423,1.73936,4.2809,0.309342
424,2.01395,2.32523,0.111925
425,2.42114,2.54804,0.162476
426,1.79413,3.51064,0.587255
427,2.17895,1.63524,0.235594
428,1.478,1.82369,0.732539
429,2.18914,4.53727,0.927749
430,1.54418,3.51829,0.39133
431,2.0677,0.0937476,0.805028
432,2.27576,0.633714,0.69727
433,1.43415,4.06134,0.3202
434,1.4648,4.36965,0.423855
435,2.88931,4.60489,0.0131865
436,1.48223,3.73384,0.154257
437,1.44342,4.5532,0.612575
438,1.61242,3.21644,0.0749574
439,1.47596,0.836506,0.230196
440,1.44982,1.53798,0.429903
441,2.27258,0.418339,0.68603
442,1.61785,3.54512,0.460118
443,1.88198,0.578219,0.7426
444,2.10594,1.36659,0.517129
445,1.62581,3.5179,0.287451
446,1.44273,0.617573,0.61976
447,1.52232,0.799519,0.826797
448,2.79478,3.97764,0.0234952
449,2.75733,0.374045,0.621728
450,1.61471,1.06789,0.711464
451,2.11523,4.46398,0.191226
452,1.91577,4.15787,0.0285735
453,1.64659,4.63894,0.153951
454,1.69656,2.20816,0.129796
455,1.57936,0.493447,0.561625
456,2.38508,2.73837,0.279693
457,1.46994,1.0026,0.74647
458,1.4214,3.38515,0.487021
459,1.44657,5.59238,0.19374
460,1.60078,0.683465,0.844618
461,1.42904,2.2106,0.0715277
462,1.73715,0.947101,0.44802
463,1.43455,4.01728,0.0362399
464,1.5959,3.70149,0.121227
465,1.72411,2.32374,0.946888
466,1.67429,7.09559,0.240384
467,1.64227,0.664533,0.61893
468,1.71247,2.27145,0.22584
469,2.04614,1.16545,0.699316
470,1.4392,2.18978,0.421909
471,1.8815,2.91698,0.230235
472,1.50437,0.660524,0.347418
473,2.20695,0.0408345,0.940464
474,1.89968,3.21173,0.0665819
475,1.43197,2.30812,0.86011
476,1.44837,2.45151,0.493092
477,2.03908,1.35968,0.304386
478,1.85155,1.8246,0.282007
479,1.59915,2.87418,0.0344423
480,1.597,1.64036,0.30171
481,1.48833,3.4734,0.0355103
482,1.43169,4.70408,0.647412
483,2.14854,3.90805,0.287166
484,1.81692,8.20119,0.338372
485,1.73866,0.095626,0.607637
486,1.70818,4.85442,0.240762
487,1.4624,5.37439,0.768422
488,1.51122,2.45,0.0722588
489,1.8703,3.60907,0.166712
490,2.25796,4.14754,0.356422
491,2.24089,4.41926,0.134631
492,1.41785,3.79613,0.0576366
493,1.45024,0.664355,0.477083
494,1.69941,3.10335,0.359305
495,1.42018,3.72253,0.0195685
496,1.4897,1.75122,0.233097
497,1.59677,1.5617,0.487977
498,4.34379,4.14543,0.0201082
499,1.57054,1.38231,0.671658
500,1.48293,0.10371,0.655622
501,1.64731,1.93694,0.133379
502,1.59177,3.52574,0.0989876
503,1.72413,3.55052,0.161965
504,1.87395,1.69954,0.409821
505,1.73656,3.7262,0.0741524
506,1.71283,0.349678,0.444184
507,1.60101,0.149573,0.905804
508,4.03091,2.18147,0.568762
509,2.2428,2.52063,0.430201
510,1.42599,0.483347,0.95488
511,1.56629,4.95584,0.495278
512,1.73655,0.71296,0.810357
513,2.19359,0.754132,0.358327
514,1.54593,6.28476,0.0465698
515,1.82591,3.21237,0.196269
516,3.30127,3.82745,0.228346
517,2.41892,0.983302,0.452719
518,1.52822,8.02619,0.249123
519,1.51351,5.12878,0.0201354
520,1.53487,2.79135,0.0633297
521,1.78707,0.517597,0.623839
522,2.00461,2.37237,0.223357
523,1.70082,0.663514,0.665529
524,1.58699,3.18654,0.228307
525,1.82298,4.30976,0.234985
526,1.41866,2.72047,0.267691
527,1.67988,2.78216,0.309131
528,2.78794,2.13831,0.470973
529,1.52109,2.4314,0.477823
530,2.32191,3.09764,0.0259836
531,2.23025,0.862934,0.336571
532,1.60433,0.330224,0.463873
533,2.05829,1.34731,0.240671
534,2.16853,1.04711,0.599303
535,2.70902,1.99342,0.158659
536,1.5195,3.68575,0.7167
537,1.62349,0.887228,0.530472
538,1.65491,8.51994,0.639254
539,2.34431,0.384855,0.773399
540,1.57822,2.68594,0.0289619
541,1.47788,5.52319,0.190808
542,2.02489,0.29472,0.661589
543,1.4602,1.44369,0.70634
544,1.4395,0.556723,0.836729
545,1.50522,3.03395,0.211651
546,1.4943,2.1577,0.548602
547,2.0294,4.30105,0.290481
548,1.50676,3.73608,0.21278
549,1.88233,2.42857,0.0920279
550,1.47196,1.27472,0.404553
551,3.00869,5.12257,0.207467
552,1.60737,6.15394,0.552869
553,1.7411,2.46659,0.0364187
554,2.07702,0.008774,0.961646
555,1.50954,0.170529,0.806492
556,1.56981,4.54558,0.728891
557,1.4509,1.07751,0.441117
558,1.46874,7.44079,0.04024
559,1.5959,0.23641,0.715387
560,2.1319,2.35209,0.547268
561,1.52039,0.730939,0.375792
562,1.72541,1.28252,0.323653
563,1.62576,0.776452,0.198946
564,1.9708,3.91545,0.416052
565,1.58218,0.346922,0.785156
566,1.51202,2.00087,0.0851783
567,1.75009,0.327343,0.916647
568,1.62985,3.53683,0.0368359
569,1.63062,4.97665,0.02212
570,3.13091,3.57534,0.0447072
571,1.45038,0.9711,0.572983
572,1.4473,4.63406,0.0189722
573,1.95168,3.21805,0.3941
574,1.88774,1.88664,0.135208
575,2.61344,3.80491,0.152651
576,1.53661,5.28849,0.01583
577,1.9376,0.886954,0.357359
578,1.419,2.7651,0.218277
579,1.52427,3.74661,0.886984
580,2.88891,4.01212,0.538769
581,1.79599,3.6499,0.137404
582,1.62495,4.59074,0.0540962
583,1.51719,5.58579,0.0242569
584,1.46256,5.97844,0.79777
585,1.48103,1.23308,0.227956
586,1.53536,2.92148,0.0986422
587,1.55358,0.459739,0.554511
588,1.43338,0.951211,0.262693
589,1.42091,1.14957,0.467402
590,2.01529,2.83308,0.78792
591,1.54655,3.43621,0.0897525
592,1.63722,1.58015,0.261856
593,1.85376,3.16319,0.314103
594,1.73779,3.24972,0.123587
595,1.44904,4.24331,0.450931
596,1.51012,5.96203,0.0613256
597,1.44792,2.93446,0.313172
598,1.45773,2.17668,0.208839
599,1.44699,1.41077,0.659349
600,1.58341,0.412724,0.695648
601,1.64893,2.71268,0.123797
602,1.82369,1.32178,0.366198
603,3.40571,2.47488,0.196454
604,1.80749,0.321438,0.904454
605,1.48812,1.48492,0.632539
606,1.42587,0.0993234,0.734247
607,3.17221,2.69648,0.605341
608,1.46621,4.0056,0.311482
609,2.05934,0.712983,0.325535
610,4.13755,3.18068,0.860946
611,2.37819,1.89432,0.401254
612,1.63763,1.31546,0.761929
613,1.75214,0.223655,0.572099
614,1.50374,0.777884,0.506193
615,1.52189,1.78539,0.435251
616,2.30435,1.1706,0.506902
617,1.5001,4.34595,0.849728
618,1.66064,0.96773,0.274622
619,1.45599,3.12697,0.0205841
620,3.44593,5.72503,0.139075
621,2.15701,2.26407,0.220397
622,1.62966,3.14691,0.0494277
623,1.89268,6.65149,0.20669
624,1.54496,0.716229,0.398748
625,1.61572,3.27669,0.0790655
626,1.61404,1.28227,0.429507
627,1.46162,0.800082,0.275192
628,1.58808,3.93779,0.0721104
629,1.43936,0.808461,0.621588
630,1.56729,1.15549,0.510233
631,1.52932,3.27379,0.0829983
632,1.93295,2.4326,0.588098
633,1.72707,6.47028,0.551367
634,1.81815,2.78128,0.109977
635,1.69131,0.184378,0.564232
636,1.52014,2.06751,0.243615
637,1.61221,3.2965,0.337879
638,1.42795,1.82239,0.100436
639,1.8727,1.99459,0.763307
640,2.0739,5.62129,0.663079
641,1.47421,3.13027,0.279523
642,1.93546,3.81623,0.275964
643,1.52303,2.89895,0.805831
644,1.73872,1.25675,0.516418
645,4.45533,8.5902,0.147022
646,1.51329,1.04322,0.649669
647,1.60875,3.72878,0.277948
648,1.70864,0.208468,0.719723
649,5.01536,1.46134,0.253969
650,1.71577,2.40015,0.961766
651,1.45775,1.67944,0.829999
652,1.67939,0.29944,0.976091
653,1.44635,0.492654,0.528557
654,11.3576,1.535,0.229302
655,2.89793,3.97323,0.192113
656,2.84382,4.68371,0.496564
657,1.85542,3.40292,0.0741637
658,1.42955,0.809697,0.804639
